Education Level,Salary,Years of Experience,Age
Bachelor Degree or Equivalent,100000,1.0,21.0
Bachelor Degree or Equivalent,133000,14.0,39.5
Bachelor Degree or Equivalent,104000,3.0,21.0
Bachelor Degree or Equivalent,177000,4.0,29.5
Bachelor Degree or Equivalent,75498,7.0,29.5
Bachelor Degree or Equivalent,187200,38.0,59.5
Secondary Education,165000,10.0,29.5
Bachelor Degree or Equivalent,225000,35.0,59.5
Bachelor Degree or Equivalent,3641,6.0,29.5
Professional Degree,190000,11.0,39.5
Master Degree or Equivalent,21600,8.0,39.5
Bachelor Degree or Equivalent,303350,43.0,59.5
Bachelor Degree or Equivalent,165000,21.0,49.5
Bachelor Degree or Equivalent,150000,35.0,59.5
Associate Degree or Short-cycle Tertiary Education,180000,27.0,49.5
Bachelor Degree or Equivalent,16734,10.0,39.5
Bachelor Degree or Equivalent,70000,15.0,49.5
Bachelor Degree or Equivalent,43179,4.0,29.5
Bachelor Degree or Equivalent,68276,9.0,29.5
Master Degree or Equivalent,120000,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,95000,28.0,59.5
Master Degree or Equivalent,103110.08171765343,21.0,59.5
Associate Degree or Short-cycle Tertiary Education,17227,1.0,21.0
Master Degree or Equivalent,140000,15.0,49.5
Bachelor Degree or Equivalent,66916,6.0,29.5
Bachelor Degree or Equivalent,139000,10.0,29.5
Bachelor Degree or Equivalent,43621,7.0,29.5
Bachelor Degree or Equivalent,122680,20.0,39.5
Bachelor Degree or Equivalent,82362,4.0,29.5
Bachelor Degree or Equivalent,160000,12.0,39.5
Bachelor Degree or Equivalent,9242,4.0,29.5
Master Degree or Equivalent,21810,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,48190,19.0,39.5
Bachelor Degree or Equivalent,255000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,38500,0.0,21.0
Master Degree or Equivalent,185000,10.0,29.5
Master Degree or Equivalent,400000,28.0,49.5
Associate Degree or Short-cycle Tertiary Education,158000,20.0,39.5
Bachelor Degree or Equivalent,81787,19.0,39.5
Master Degree or Equivalent,127862,19.0,39.5
Bachelor Degree or Equivalent,76700,33.0,59.5
Associate Degree or Short-cycle Tertiary Education,150000,20.0,49.5
Bachelor Degree or Equivalent,18000,7.0,29.5
Secondary Education,96749,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,100000,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,83200,35.0,59.5
Bachelor Degree or Equivalent,54000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,125000,15.0,39.5
Bachelor Degree or Equivalent,135000,11.0,29.5
Bachelor Degree or Equivalent,223000,19.0,39.5
Master Degree or Equivalent,38552,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,86897,13.0,29.5
Bachelor Degree or Equivalent,99311,7.0,39.5
Bachelor Degree or Equivalent,133862,11.0,39.5
Bachelor Degree or Equivalent,165000,32.0,59.5
Bachelor Degree or Equivalent,197000,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,212000,22.0,49.5
Professional Degree,152000,10.0,39.5
Bachelor Degree or Equivalent,118962,22.0,49.5
Bachelor Degree or Equivalent,110000,2.0,29.5
Bachelor Degree or Equivalent,115000,4.0,39.5
Bachelor Degree or Equivalent,150000,25.0,59.5
Master Degree or Equivalent,144981,20.0,39.5
Bachelor Degree or Equivalent,24996,2.0,21.0
Bachelor Degree or Equivalent,185879,8.0,29.5
Bachelor Degree or Equivalent,155000,9.0,29.5
Bachelor Degree or Equivalent,162500,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,38952,6.0,29.5
Bachelor Degree or Equivalent,252795,5.0,29.5
Master Degree or Equivalent,450000,13.0,39.5
Bachelor Degree or Equivalent,180000,14.0,39.5
Master Degree or Equivalent,62069,5.0,29.5
Bachelor Degree or Equivalent,115000,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,500000,45.0,70.0
Associate Degree or Short-cycle Tertiary Education,85504,30.0,49.5
Master Degree or Equivalent,270000,5.0,29.5
Bachelor Degree or Equivalent,4,7.0,21.0
Associate Degree or Short-cycle Tertiary Education,100000,31.0,49.5
Bachelor Degree or Equivalent,79246,9.0,29.5
Master Degree or Equivalent,137000,8.0,29.5
Master Degree or Equivalent,69608,3.0,21.0
Bachelor Degree or Equivalent,83000,15.0,49.5
Master Degree or Equivalent,178443,5.0,29.5
Bachelor Degree or Equivalent,107000,7.0,29.5
Secondary Education,10281,1.0,21.0
Bachelor Degree or Equivalent,250000,23.0,39.5
Master Degree or Equivalent,220000,39.0,59.5
Master Degree or Equivalent,132791,17.0,39.5
Bachelor Degree or Equivalent,195000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,200000,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,58899,11.0,29.5
Bachelor Degree or Equivalent,76582,14.0,39.5
Bachelor Degree or Equivalent,800000,14.0,39.5
Bachelor Degree or Equivalent,154000,2.0,29.5
Bachelor Degree or Equivalent,31056,4.0,29.5
Professional Degree,124138,15.0,39.5
Bachelor Degree or Equivalent,71000,2.0,29.5
Bachelor Degree or Equivalent,19,15.0,39.5
Master Degree or Equivalent,96000,8.0,59.5
Bachelor Degree or Equivalent,60000,13.0,29.5
Master Degree or Equivalent,93104,13.0,39.5
Secondary Education,103110.08171765343,4.0,49.5
Master Degree or Equivalent,17991,2.0,21.0
Bachelor Degree or Equivalent,25219,7.0,29.5
Professional Degree,56400,16.0,39.5
Bachelor Degree or Equivalent,121000,2.0,29.5
Bachelor Degree or Equivalent,128000,12.0,29.5
Bachelor Degree or Equivalent,154000,24.0,59.5
Master Degree or Equivalent,125000,9.0,29.5
Bachelor Degree or Equivalent,120000,13.0,39.5
Bachelor Degree or Equivalent,74963,9.0,29.5
Bachelor Degree or Equivalent,175000,35.0,59.5
Bachelor Degree or Equivalent,92939,7.0,29.5
Bachelor Degree or Equivalent,21418,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,17072,4.0,29.5
Bachelor Degree or Equivalent,110000,12.0,49.5
Bachelor Degree or Equivalent,18662,0.0,29.5
Bachelor Degree or Equivalent,85672,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,30000,3.0,21.0
Bachelor Degree or Equivalent,215000,26.0,49.5
Associate Degree or Short-cycle Tertiary Education,174928,8.0,29.5
,6411,3.0,29.5
Professional Degree,37176,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,5105,2.0,29.5
Master Degree or Equivalent,117798,20.0,49.5
Associate Degree or Short-cycle Tertiary Education,210980,13.0,39.5
Master Degree or Equivalent,48982,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,70000,10.0,29.5
Master Degree or Equivalent,135000,22.0,49.5
Bachelor Degree or Equivalent,2475,28.0,49.5
Bachelor Degree or Equivalent,175000,7.0,29.5
Bachelor Degree or Equivalent,190000,25.0,39.5
Bachelor Degree or Equivalent,120000,30.0,49.5
Bachelor Degree or Equivalent,325000,10.0,29.5
Bachelor Degree or Equivalent,71007,13.0,29.5
Bachelor Degree or Equivalent,165000,30.0,49.5
Professional Degree,90000,11.237177936373532,39.5
Master Degree or Equivalent,135000,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,140000,24.0,49.5
Bachelor Degree or Equivalent,179000,34.0,59.5
Professional Degree,38349,23.0,49.5
Primary Education,83530,2.0,21.0
Master Degree or Equivalent,55764,3.0,39.5
Master Degree or Equivalent,76034,11.0,29.5
Master Degree or Equivalent,142755,4.0,39.5
Master Degree or Equivalent,51978,10.0,29.5
Bachelor Degree or Equivalent,98000,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,20098,1.0,21.0
Bachelor Degree or Equivalent,130000,11.0,39.5
Master Degree or Equivalent,241184,6.0,29.5
Secondary Education,105000,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,60968,4.0,29.5
Bachelor Degree or Equivalent,165000,36.0,59.5
Secondary Education,48132,15.0,39.5
Bachelor Degree or Equivalent,85000,7.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,32.0,70.0
Associate Degree or Short-cycle Tertiary Education,142000,15.0,49.5
Bachelor Degree or Equivalent,51641,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,75000,2.0,29.5
Master Degree or Equivalent,9694,11.237177936373532,29.5
Bachelor Degree or Equivalent,67660,6.0,29.5
,103110.08171765343,17.0,39.5
Bachelor Degree or Equivalent,115000,16.0,39.5
Master Degree or Equivalent,144000,16.0,39.5
Master Degree or Equivalent,73892,3.0,29.5
Bachelor Degree or Equivalent,48500,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,96381,16.0,29.5
Bachelor Degree or Equivalent,85086,5.0,29.5
Master Degree or Equivalent,80317,5.0,39.5
Bachelor Degree or Equivalent,34454,8.0,29.5
Master Degree or Equivalent,116550,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,89222,7.0,39.5
Professional Degree,200000,7.0,39.5
Master Degree or Equivalent,53545,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,19276,4.0,29.5
Bachelor Degree or Equivalent,111527,16.0,39.5
Master Degree or Equivalent,66342,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,13.0,59.5
Master Degree or Equivalent,85672,1.0,29.5
Secondary Education,96381,26.0,39.5
Associate Degree or Short-cycle Tertiary Education,93168,15.0,39.5
Bachelor Degree or Equivalent,54742,15.0,29.5
Bachelor Degree or Equivalent,155173,19.0,39.5
Master Degree or Equivalent,59481,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,140000,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,40000,5.0,39.5
Professional Degree,146000,8.0,39.5
Bachelor Degree or Equivalent,260000,16.0,39.5
Bachelor Degree or Equivalent,193000,7.0,29.5
Bachelor Degree or Equivalent,55532,6.0,29.5
Bachelor Degree or Equivalent,50719,9.0,29.5
Bachelor Degree or Equivalent,93013,1.0,29.5
Bachelor Degree or Equivalent,150000,4.0,21.0
Bachelor Degree or Equivalent,25881,5.0,29.5
Bachelor Degree or Equivalent,485000,4.0,21.0
Bachelor Degree or Equivalent,84601,14.0,39.5
,59970,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,163573,38.0,59.5
Bachelor Degree or Equivalent,115000,21.0,49.5
Associate Degree or Short-cycle Tertiary Education,70000,41.0,70.0
Secondary Education,40000,12.0,39.5
Bachelor Degree or Equivalent,190000,29.0,59.5
Bachelor Degree or Equivalent,68537,15.0,39.5
Secondary Education,103611,25.0,39.5
Master Degree or Equivalent,118987,35.0,49.5
Bachelor Degree or Equivalent,117931,4.0,29.5
Master Degree or Equivalent,72821,11.0,39.5
Master Degree or Equivalent,1818,7.0,29.5
Bachelor Degree or Equivalent,56000,10.0,49.5
Bachelor Degree or Equivalent,72821,10.0,29.5
Professional Degree,85000,10.0,59.5
Associate Degree or Short-cycle Tertiary Education,59970,8.0,29.5
Master Degree or Equivalent,126000,4.0,29.5
Bachelor Degree or Equivalent,226250,12.0,29.5
Master Degree or Equivalent,200000,40.0,59.5
Associate Degree or Short-cycle Tertiary Education,168000,6.0,49.5
,56507,12.0,29.5
Bachelor Degree or Equivalent,132000,32.0,59.5
Master Degree or Equivalent,38552,27.0,59.5
Master Degree or Equivalent,235295,34.0,49.5
Secondary Education,41057,4.0,39.5
Bachelor Degree or Equivalent,173982,10.0,29.5
Master Degree or Equivalent,208184,36.0,59.5
Master Degree or Equivalent,103110.08171765343,35.0,70.0
Associate Degree or Short-cycle Tertiary Education,185000,30.0,49.5
Bachelor Degree or Equivalent,131325,30.0,59.5
Bachelor Degree or Equivalent,104000,25.0,49.5
Bachelor Degree or Equivalent,137000,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,155000,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,55764,5.0,29.5
Bachelor Degree or Equivalent,45494,5.0,29.5
Professional Degree,97000,25.0,39.5
Bachelor Degree or Equivalent,301000,8.0,39.5
Master Degree or Equivalent,74351,10.0,39.5
Master Degree or Equivalent,90000,10.0,39.5
Bachelor Degree or Equivalent,149500,8.0,29.5
Bachelor Degree or Equivalent,800000,15.0,39.5
Master Degree or Equivalent,90000,1.0,21.0
Bachelor Degree or Equivalent,52474,6.0,29.5
Bachelor Degree or Equivalent,166000,6.0,29.5
Professional Degree,160634,14.0,29.5
,130000,3.0,39.5
Bachelor Degree or Equivalent,96704,8.0,29.5
Bachelor Degree or Equivalent,60000,35.0,59.5
Bachelor Degree or Equivalent,125000,1.0,21.0
Master Degree or Equivalent,150000,48.0,70.0
Associate Degree or Short-cycle Tertiary Education,228800,17.0,39.5
Secondary Education,120000,12.0,29.5
Bachelor Degree or Equivalent,127000,3.0,29.5
Master Degree or Equivalent,14400,4.0,29.5
Bachelor Degree or Equivalent,365000,10.0,29.5
Master Degree or Equivalent,137000,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,68537,7.0,29.5
Bachelor Degree or Equivalent,70634,6.0,29.5
Bachelor Degree or Equivalent,130000,29.0,49.5
Professional Degree,70000,4.0,29.5
Bachelor Degree or Equivalent,190000,22.0,49.5
Bachelor Degree or Equivalent,24345,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,41600,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,82000,2.0,29.5
Bachelor Degree or Equivalent,109053,8.0,39.5
Master Degree or Equivalent,55687,8.0,39.5
Bachelor Degree or Equivalent,325000,25.0,49.5
Bachelor Degree or Equivalent,48662,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,37481,10.0,29.5
Bachelor Degree or Equivalent,101861,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,163573,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,165000,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,148966,8.0,29.5
Bachelor Degree or Equivalent,163573,8.0,29.5
Bachelor Degree or Equivalent,71779,9.0,29.5
Bachelor Degree or Equivalent,124000,14.0,39.5
Master Degree or Equivalent,70679,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,150000,17.0,39.5
Bachelor Degree or Equivalent,175000,17.0,39.5
Master Degree or Equivalent,120000,35.0,59.5
Bachelor Degree or Equivalent,16230,4.0,21.0
Bachelor Degree or Equivalent,80000,6.0,21.0
Master Degree or Equivalent,76085,7.0,29.5
Bachelor Degree or Equivalent,59403,7.0,29.5
Bachelor Degree or Equivalent,175000,12.0,39.5
Professional Degree,81388,15.0,39.5
Master Degree or Equivalent,88154,17.0,39.5
Bachelor Degree or Equivalent,334581,18.0,39.5
Bachelor Degree or Equivalent,113000,26.0,49.5
Associate Degree or Short-cycle Tertiary Education,36518,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,150000,38.0,59.5
Professional Degree,26963,1.0,29.5
Bachelor Degree or Equivalent,32866,8.0,29.5
Bachelor Degree or Equivalent,215000,5.0,39.5
Professional Degree,62069,10.0,29.5
Bachelor Degree or Equivalent,72790,5.0,29.5
Master Degree or Equivalent,435000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,155000,27.0,39.5
Bachelor Degree or Equivalent,29450,3.0,29.5
Bachelor Degree or Equivalent,142000,25.0,59.5
Secondary Education,16230,18.0,39.5
Master Degree or Equivalent,69106,27.0,49.5
Bachelor Degree or Equivalent,48000,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,44690,4.0,39.5
Bachelor Degree or Equivalent,200000,6.0,29.5
Secondary Education,257015,23.0,39.5
Master Degree or Equivalent,59970,5.0,39.5
Secondary Education,51403,5.0,21.0
Secondary Education,42603,22.0,39.5
Professional Degree,132000,18.0,49.5
Bachelor Degree or Equivalent,66567,0.0,29.5
Master Degree or Equivalent,21103,6.0,29.5
Master Degree or Equivalent,155000,23.0,39.5
Associate Degree or Short-cycle Tertiary Education,31649,8.0,21.0
Bachelor Degree or Equivalent,100000,10.0,39.5
Bachelor Degree or Equivalent,17330,2.0,29.5
Bachelor Degree or Equivalent,294000,14.0,39.5
Master Degree or Equivalent,50975,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,55764,7.0,29.5
Master Degree or Equivalent,128953,5.0,29.5
Master Degree or Equivalent,49261,1.0,29.5
Professional Degree,65793,9.0,39.5
Bachelor Degree or Equivalent,63100,11.0,39.5
Bachelor Degree or Equivalent,155000,11.0,29.5
Bachelor Degree or Equivalent,240000,13.0,29.5
Master Degree or Equivalent,9589,2.0,29.5
Professional Degree,103110.08171765343,43.0,70.0
Associate Degree or Short-cycle Tertiary Education,190000,19.0,39.5
Secondary Education,115506,10.0,29.5
Master Degree or Equivalent,49457,3.0,21.0
Bachelor Degree or Equivalent,450000,16.0,39.5
Master Degree or Equivalent,118441,15.0,39.5
Bachelor Degree or Equivalent,170000,0.0,21.0
Bachelor Degree or Equivalent,110984,11.0,39.5
Master Degree or Equivalent,14,7.0,29.5
Bachelor Degree or Equivalent,89000,3.0,29.5
Professional Degree,200000,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,81787,9.0,39.5
Bachelor Degree or Equivalent,225000,10.0,29.5
Master Degree or Equivalent,150000,25.0,59.5
Professional Degree,45931,15.0,49.5
Bachelor Degree or Equivalent,70000,11.0,29.5
Bachelor Degree or Equivalent,70679,2.0,29.5
Bachelor Degree or Equivalent,160000,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,107000,17.0,49.5
Master Degree or Equivalent,72000,12.0,39.5
Bachelor Degree or Equivalent,190000,7.0,49.5
Master Degree or Equivalent,145000,5.0,29.5
Professional Degree,127000,3.0,39.5
Associate Degree or Short-cycle Tertiary Education,110700,2.0,29.5
Bachelor Degree or Equivalent,67854,6.0,29.5
Master Degree or Equivalent,72792,12.0,39.5
Bachelor Degree or Equivalent,86400,7.0,29.5
Bachelor Degree or Equivalent,53379,18.0,39.5
Bachelor Degree or Equivalent,107090,7.0,29.5
Bachelor Degree or Equivalent,181167,16.0,39.5
Bachelor Degree or Equivalent,140000,1.0,21.0
Bachelor Degree or Equivalent,379,0.0,21.0
Master Degree or Equivalent,23342,4.0,29.5
Secondary Education,59142,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,260000,28.0,49.5
Bachelor Degree or Equivalent,160000,14.0,29.5
Associate Degree or Short-cycle Tertiary Education,96381,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,170000,24.0,49.5
Associate Degree or Short-cycle Tertiary Education,80000,6.0,29.5
Master Degree or Equivalent,180000,15.0,29.5
Secondary Education,38525,3.0,29.5
Bachelor Degree or Equivalent,110000,16.0,39.5
Secondary Education,107090,31.0,49.5
Master Degree or Equivalent,240000,11.0,39.5
Bachelor Degree or Equivalent,11401,8.0,29.5
Bachelor Degree or Equivalent,2532,2.0,29.5
Master Degree or Equivalent,71215,14.0,39.5
Master Degree or Equivalent,124000,5.0,29.5
Bachelor Degree or Equivalent,44832,5.0,29.5
Bachelor Degree or Equivalent,150000,26.0,39.5
Bachelor Degree or Equivalent,37241,0.0,21.0
Master Degree or Equivalent,86743,5.0,29.5
Bachelor Degree or Equivalent,75089,1.0,29.5
Professional Degree,112377,10.0,39.5
Master Degree or Equivalent,190000,17.0,49.5
Professional Degree,42836,11.0,39.5
Bachelor Degree or Equivalent,105000,33.0,70.0
Bachelor Degree or Equivalent,135000,6.0,49.5
Bachelor Degree or Equivalent,95000,4.0,29.5
Bachelor Degree or Equivalent,43448,10.0,29.5
Bachelor Degree or Equivalent,116000,8.0,29.5
Bachelor Degree or Equivalent,37532,13.0,29.5
Bachelor Degree or Equivalent,55285,10.0,29.5
Master Degree or Equivalent,8289,1.0,49.5
Bachelor Degree or Equivalent,220000,10.0,29.5
Professional Degree,515173,15.0,39.5
Bachelor Degree or Equivalent,109000,6.0,29.5
Master Degree or Equivalent,85672,2.0,21.0
Bachelor Degree or Equivalent,121000,20.0,49.5
Bachelor Degree or Equivalent,130000,15.0,39.5
Bachelor Degree or Equivalent,237495,5.0,29.5
Secondary Education,80317,37.0,49.5
Secondary Education,80000,16.0,39.5
Master Degree or Equivalent,79246,4.0,29.5
Master Degree or Equivalent,90000,50.0,70.0
Master Degree or Equivalent,417000,13.0,39.5
Bachelor Degree or Equivalent,60000,20.0,49.5
Master Degree or Equivalent,95000,7.0,29.5
Professional Degree,83000,6.0,29.5
Master Degree or Equivalent,19993,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,450000,20.0,49.5
Bachelor Degree or Equivalent,140000,50.0,70.0
Bachelor Degree or Equivalent,127000,19.0,49.5
Bachelor Degree or Equivalent,85504,35.0,59.5
Associate Degree or Short-cycle Tertiary Education,223449,36.0,49.5
Bachelor Degree or Equivalent,52036,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,100649,7.0,39.5
Master Degree or Equivalent,54616,3.0,29.5
Master Degree or Equivalent,78760,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,315000,20.0,39.5
Bachelor Degree or Equivalent,120000,28.0,70.0
Master Degree or Equivalent,129406,23.0,39.5
Master Degree or Equivalent,55687,1.0,29.5
Master Degree or Equivalent,130000,6.0,39.5
Master Degree or Equivalent,89707,7.0,29.5
Bachelor Degree or Equivalent,72821,21.0,39.5
Secondary Education,45000,8.0,29.5
Professional Degree,107090,6.0,39.5
Master Degree or Equivalent,95000,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,79000,6.0,29.5
Master Degree or Equivalent,118000,22.0,49.5
Bachelor Degree or Equivalent,125000,11.237177936373532,39.5
Master Degree or Equivalent,100390,9.0,29.5
Secondary Education,23560,2.0,21.0
Bachelor Degree or Equivalent,80000,7.0,29.5
Bachelor Degree or Equivalent,200000,31.0,59.5
Master Degree or Equivalent,148703,35.0,59.5
Associate Degree or Short-cycle Tertiary Education,22104,16.0,39.5
Bachelor Degree or Equivalent,100664,5.0,39.5
Secondary Education,78175,15.0,39.5
Bachelor Degree or Equivalent,535448,10.0,29.5
Master Degree or Equivalent,160000,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,96381,12.0,39.5
Professional Degree,37241,1.0,39.5
Bachelor Degree or Equivalent,170000,35.0,70.0
Professional Degree,142759,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,3748,24.0,39.5
Associate Degree or Short-cycle Tertiary Education,144000,9.0,39.5
Professional Degree,104705,15.0,49.5
Master Degree or Equivalent,450000,29.0,49.5
Master Degree or Equivalent,115000,12.0,29.5
Bachelor Degree or Equivalent,69074,8.0,29.5
Bachelor Degree or Equivalent,23781,5.0,29.5
Professional Degree,70000,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,225000,10.0,29.5
Bachelor Degree or Equivalent,297406,7.0,29.5
Master Degree or Equivalent,105517,25.0,49.5
Bachelor Degree or Equivalent,130000,7.0,39.5
Bachelor Degree or Equivalent,78069,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,70926,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,65000,3.0,29.5
Master Degree or Equivalent,107810,10.0,29.5
Bachelor Degree or Equivalent,185000,19.0,39.5
Master Degree or Equivalent,55241,0.0,21.0
Professional Degree,128507,45.0,70.0
Bachelor Degree or Equivalent,90000,16.0,39.5
Bachelor Degree or Equivalent,70000,4.0,29.5
Master Degree or Equivalent,110000,4.0,39.5
Bachelor Degree or Equivalent,180,14.0,39.5
Master Degree or Equivalent,182500,2.0,29.5
Bachelor Degree or Equivalent,112000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,105000,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,81000,27.0,49.5
Associate Degree or Short-cycle Tertiary Education,80149,5.0,29.5
Bachelor Degree or Equivalent,200000,16.0,39.5
Master Degree or Equivalent,520000,20.0,39.5
Master Degree or Equivalent,192000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,1237,5.0,21.0
Bachelor Degree or Equivalent,119600,10.0,29.5
Professional Degree,201161,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,147004,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,32127,9.0,29.5
Bachelor Degree or Equivalent,88000,3.0,39.5
Bachelor Degree or Equivalent,88000,1.0,29.5
Bachelor Degree or Equivalent,115245,15.0,39.5
Bachelor Degree or Equivalent,98349,5.0,29.5
Bachelor Degree or Equivalent,89222,20.0,39.5
Bachelor Degree or Equivalent,29001,3.0,21.0
Bachelor Degree or Equivalent,96657,3.0,29.5
Bachelor Degree or Equivalent,122000,11.0,39.5
Bachelor Degree or Equivalent,65700,25.0,49.5
Master Degree or Equivalent,82237,15.0,39.5
Bachelor Degree or Equivalent,113000,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,114000,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,200000,35.0,59.5
Associate Degree or Short-cycle Tertiary Education,175000,20.0,59.5
Master Degree or Equivalent,54000,8.0,29.5
Bachelor Degree or Equivalent,34489,6.0,29.5
Bachelor Degree or Equivalent,68403,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,100374,4.0,29.5
Bachelor Degree or Equivalent,135000,35.0,59.5
Bachelor Degree or Equivalent,180000,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,64254,35.0,59.5
Associate Degree or Short-cycle Tertiary Education,20200,12.0,39.5
Bachelor Degree or Equivalent,170100,24.0,39.5
Secondary Education,103110.08171765343,47.0,70.0
Bachelor Degree or Equivalent,121035,25.0,49.5
Master Degree or Equivalent,88500,3.0,29.5
Bachelor Degree or Equivalent,64254,7.0,39.5
Bachelor Degree or Equivalent,250000,45.0,59.5
Bachelor Degree or Equivalent,250000,9.0,29.5
Bachelor Degree or Equivalent,87000,5.0,29.5
Bachelor Degree or Equivalent,47213,10.0,39.5
Bachelor Degree or Equivalent,83855,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,170000,6.0,39.5
Master Degree or Equivalent,140000,12.0,39.5
Master Degree or Equivalent,101735,32.0,49.5
Master Degree or Equivalent,210000,19.0,39.5
Bachelor Degree or Equivalent,146000,8.0,29.5
Bachelor Degree or Equivalent,67233,5.0,29.5
Bachelor Degree or Equivalent,83173,12.0,29.5
Bachelor Degree or Equivalent,125000,11.0,39.5
Master Degree or Equivalent,171008,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,140000,32.0,59.5
Associate Degree or Short-cycle Tertiary Education,192761,9.0,29.5
Bachelor Degree or Equivalent,205000,7.0,29.5
Bachelor Degree or Equivalent,100000,12.0,49.5
Associate Degree or Short-cycle Tertiary Education,83000,3.0,29.5
Master Degree or Equivalent,103110.08171765343,1.0,49.5
Bachelor Degree or Equivalent,87000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,80000,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,91026,11.0,49.5
Associate Degree or Short-cycle Tertiary Education,165000,16.0,49.5
Bachelor Degree or Equivalent,260230,25.0,49.5
Bachelor Degree or Equivalent,57021,9.0,29.5
Professional Degree,320000,20.0,39.5
Bachelor Degree or Equivalent,23828,8.0,29.5
Bachelor Degree or Equivalent,100000,13.0,39.5
Bachelor Degree or Equivalent,64499,5.0,49.5
Bachelor Degree or Equivalent,160000,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,148703,20.0,49.5
Master Degree or Equivalent,87813,12.0,39.5
Bachelor Degree or Equivalent,168400,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,15053,3.0,29.5
Bachelor Degree or Equivalent,97500,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,92500,11.0,29.5
Bachelor Degree or Equivalent,109484,11.0,29.5
Secondary Education,195000,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,14927,2.0,21.0
Professional Degree,198621,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,160,24.0,49.5
Bachelor Degree or Equivalent,151000,10.0,29.5
Bachelor Degree or Equivalent,112444,12.0,29.5
Bachelor Degree or Equivalent,105000,1.0,21.0
Master Degree or Equivalent,24234,0.0,21.0
